,subj,prediction,target
0,LVO1,410.6615295410156,210.0
1,LVO10,470.16461181640625,230.0
2,LVO116,471.07965087890625,250.0
3,LVO117,408.9844970703125,240.0
4,LVO119,403.0187683105469,210.0
5,LVO122,251.85955810546875,170.0
6,LVO128,368.3465881347656,170.0
7,LVO129,457.45556640625,240.0
8,LVO130,505.3349609375,300.0
9,LVO131,481.27874755859375,230.0
10,LVO135,317.9471740722656,160.0
11,LVO147,702.3480224609375,380.0
12,LVO150,724.734130859375,460.0
13,LVO162,636.7293090820312,500.0
14,LVO170,618.0537719726562,400.0
15,LVO178,402.4678649902344,230.0
16,LVO181,494.618408203125,410.0
17,LVO183,387.2651062011719,400.0
18,LVO202,328.7912292480469,190.0
19,LVO211,415.55584716796875,350.0
20,LVO212,441.1315612792969,230.0
21,LVO213,301.89813232421875,110.0
22,LVO216,421.37322998046875,310.0
23,LVO218,484.44219970703125,400.0
24,LVO226,484.4820861816406,290.0
25,LVO234,458.7599792480469,290.0
26,LVO235,530.6592407226562,380.0
27,LVO240,635.0706176757812,460.0
28,LVO246,300.51348876953125,200.0
29,LVO248,451.83685302734375,200.0
30,LVO249,307.06512451171875,160.0
31,LVO250,307.1643371582031,110.0
32,LVO252,604.5995483398438,400.0
33,LVO255,619.1990356445312,400.0
34,LVO258,590.8046875,260.0
35,LVO265,484.483154296875,250.0
36,LVO270,378.7390441894531,240.0
37,LVO3,546.0098876953125,350.0
38,LVO302,449.2995300292969,200.0
39,LVO322,373.2130126953125,240.0
40,LVO328,317.10821533203125,160.0
41,LVO329,591.1350708007812,300.0
42,LVO332,380.5093078613281,230.0
43,LVO333,276.8227233886719,210.0
44,LVO34,362.16455078125,260.0
45,LVO344,272.7657470703125,230.0
46,LVO351,724.868896484375,350.0
47,LVO43,514.9837036132812,400.0
48,LVO46,343.43426513671875,400.0
49,LVO50,472.989990234375,270.0
50,LVO514,305.259033203125,150.0
51,LVO524,570.3880004882812,330.0
52,LVO535,358.4974060058594,260.0
53,LVO54,421.8778991699219,270.0
54,LVO545,364.396484375,250.0
55,LVO564,694.3275146484375,400.0
56,LVO59,435.8249816894531,280.0
57,LVO62,393.3185119628906,350.0
58,LVO66,440.4171447753906,240.0
59,LVO72,493.0785827636719,410.0
