,subj,prediction,target
0,LVO1,182.3922576904297,210.0
1,LVO10,194.9068603515625,230.0
2,LVO116,191.6185760498047,250.0
3,LVO117,188.6363983154297,240.0
4,LVO119,177.2405548095703,210.0
5,LVO122,161.90371704101562,170.0
6,LVO128,157.5478973388672,170.0
7,LVO129,190.2657470703125,240.0
8,LVO130,204.06954956054688,300.0
9,LVO131,193.17678833007812,230.0
10,LVO135,185.23095703125,160.0
11,LVO147,242.25106811523438,380.0
12,LVO150,209.09274291992188,460.0
13,LVO162,190.34417724609375,500.0
14,LVO170,203.2372589111328,400.0
15,LVO178,187.3184356689453,230.0
16,LVO181,193.50856018066406,410.0
17,LVO183,190.26449584960938,400.0
18,LVO202,171.65838623046875,190.0
19,LVO211,196.93405151367188,350.0
20,LVO212,175.0138397216797,230.0
21,LVO213,187.9196014404297,110.0
22,LVO216,176.86399841308594,310.0
23,LVO218,240.3339080810547,400.0
24,LVO226,184.7514190673828,290.0
25,LVO234,196.66664123535156,290.0
26,LVO235,187.17515563964844,380.0
27,LVO240,224.63607788085938,460.0
28,LVO246,187.735107421875,200.0
29,LVO248,183.88507080078125,200.0
30,LVO249,175.52517700195312,160.0
31,LVO250,189.53392028808594,110.0
32,LVO252,192.02841186523438,400.0
33,LVO255,227.1414337158203,400.0
34,LVO258,183.05795288085938,260.0
35,LVO265,160.96871948242188,250.0
36,LVO270,169.48912048339844,240.0
37,LVO3,211.83071899414062,350.0
38,LVO302,183.00640869140625,200.0
39,LVO322,179.4154815673828,240.0
40,LVO328,168.73863220214844,160.0
41,LVO329,213.53985595703125,300.0
42,LVO332,176.8878631591797,230.0
43,LVO333,152.0408477783203,210.0
44,LVO34,197.13421630859375,260.0
45,LVO344,137.8842010498047,230.0
46,LVO351,245.5221405029297,350.0
47,LVO43,180.90994262695312,400.0
48,LVO46,180.26565551757812,400.0
49,LVO50,186.14321899414062,270.0
50,LVO514,184.10128784179688,150.0
51,LVO524,207.850830078125,330.0
52,LVO535,154.7413330078125,260.0
53,LVO54,185.76763916015625,270.0
54,LVO545,171.03834533691406,250.0
55,LVO564,224.18203735351562,400.0
56,LVO59,187.51544189453125,280.0
57,LVO62,190.97833251953125,350.0
58,LVO66,192.92579650878906,240.0
59,LVO72,182.7012939453125,410.0
